fips,name,random1,random2,random3
"08067","La Plata",929087,22028,92456
"08069","Larimer",254971,95211,81899
"08071","Las Animas",980613,35972,69207
"08073","Lincoln",229914,35325,70163
"08075","Logan",671437,86045,56553
"08077","Mesa",963654,67071,76376
"08079","Mineral",478748,67831,54201
"08081","Moffat",19354,20416,25053
"08083","Montezuma",833890,86120,38194
"08085","Montrose",129366,65579,6391
"08087","Morgan",530729,41838,99585
"08089","Otero",712676,57630,62219
"08091","Ouray",992966,85834,68439
"08093","Park",547077,45529,65821
"08095","Phillips",492094,54324,26350
"08097","Pitkin",721630,58616,90219
"08099","Prowers",602922,98028,29367
"08101","Pueblo",740641,66690,91551
"08103","Rio Blanco",974397,56551,26381
"08105","Rio Grande",444442,52226,48214
"08107","Routt",416052,60311,16353
"08109","Saguache",964435,28683,94146
"08111","San Juan",856607,27128,40354
"08113","San Miguel",480585,9653,70771
"08115","Sedgwick",620845,23501,11493
"08117","Summit",304622,45912,46346
"08119","Teller",543864,76702,9221
"08121","Washington",459071,78124,67
"08123","Weld",623036,62491,11725
"08125","Yuma",198000,6398,75997
"09001","Fairfield",707019,84372,10727
"09003","Hartford",396931,20658,90731
"09005","Litchfield",490024,75997,28803
"09007","Middlesex",547728,69622,78581
"09009","New Haven",302143,81281,22796
"09011","New London",673262,52254,86198
"09013","Tolland",744372,11404,17254
"09015","Windham",336494,22725,72012
"10001","Kent",24997,32742,51911
"10003","New Castle",567241,63549,9734
"10005","Sussex",633662,62122,28136
"11001","District of Columbia",225980,39832,22563
"12001","Alachua",539597,14165,39163
"12003","Baker",696779,27314,26330
"12005","Bay",779828,83965,2593
"12007","Bradford",769994,76604,95370
"12009","Brevard",9561,84287,65113
"12011","Broward",139198,67289,23648
"12013","Calhoun",653507,96739,48856
"12015","Charlotte",54951,92559,22473
"12017","Citrus",382541,24363,90775
"12019","Clay",563754,2394,58047
"12021","Collier",591992,24417,19488
"12023","Columbia",178820,55546,84901
"12027","DeSoto",371887,68611,94090
"12029","Dixie",932088,97017,60417
"12031","Duval",483377,12126,85993
"12033","Escambia",747352,34509,27147
"12035","Flagler",745865,74685,25199
"12037","Franklin",447445,93001,65115
"12039","Gadsden",871753,22224,35210
"12041","Gilchrist",257736,63743,22264
"12043","Glades",204661,79740,6377
"12045","Gulf",321707,62460,96582
"12047","Hamilton",731090,3098,73262
"12049","Hardee",585941,32496,67148
"12051","Hendry",376310,45674,56225
"12053","Hernando",557872,16712,14286
"12055","Highlands",674540,48609,40870
"12057","Hillsborough",204877,61405,98418
"12059","Holmes",531035,3086,22912
"12061","Indian River",154864,23668,59654
"12063","Jackson",499318,43943,63101
"12065","Jefferson",969451,42725,36434
"12067","Lafayette",201878,4462,89809
"12069","Lake",858764,73370,4462
"12071","Lee",143802,1981,3059
"12073","Leon",236921,90686,10656
"12075","Levy",225304,10461,74445
"12077","Liberty",222758,65618,77414
"12079","Madison",34610,57919,30878
"12081","Manatee",516608,87510,23557
"12083","Marion",46060,11613,63966
"12085","Martin",832404,93145,7474
"12086","Miami-Dade",305048,77028,56468
"12087","Monroe",570687,34234,83592
"12089","Nassau",961807,81210,22249
"12091","Okaloosa",812762,3044,31723
"12093","Okeechobee",640231,81076,47676
"12095","Orange",237359,17337,6645
"12097","Osceola",947586,45192,62878
"12099","Palm Beach",421465,14486,53680
"12101","Pasco",867988,82360,99972
"12103","Pinellas",805296,16603,78900
"12105","Polk",152651,84575,17366
"12107","Putnam",839647,45056,15260
"12109","St. Johns",908060,65256,52241
"12111","St. Lucie",434429,60492,6465
"12113","Santa Rosa",437340,95635,97225
"12115","Sarasota",986547,47951,38308
"12117","Seminole",247762,38968,82449
"12119","Sumter",867012,43815,5014
"12121","Suwannee",743872,8152,55406
"12123","Taylor",20431,4358,72283
"12125","Union",284231,96189,24233
"12127","Volusia",482952,88394,92843
"12129","Wakulla",538383,40842,51757
"12131","Walton",603892,39447,27074
"12133","Washington",181927,56169,71917
"13001","Appling",362711,72732,46806
"13003","Atkinson",646000,63943,46788
"13005","Bacon",324973,37970,84552
"13007","Baker",688799,6412,66453
"13009","Baldwin",83258,98904,44433
"13011","Banks",428899,59378,60160
"13013","Barrow",462969,97885,88455
"13015","Bartow",177590,88424,18894
"13017","Ben Hill",10874,60237,53529
"13019","Berrien",580952,28459,94087
"13021","Bibb",383989,25572,6676
"13023","Bleckley",589694,83777,77008
"13025","Brantley",40245,80530,69317
"13027","Brooks",220594,85500,6183
"13029","Bryan",412676,38785,5966
"13031","Bulloch",745895,62292,75887
"13033","Burke",685989,73450,66241
"13035","Butts",882959,74283,17026
"13037","Calhoun",302027,13098,43603
"13039","Camden",307758,83369,2691
"13043","Candler",838925,68528,93491
"13045","Carroll",424158,71189,76731
"13047","Catoosa",66309,25219,21466
"13049","Charlton",814926,21877,94502
"13051","Chatham",552659,15513,88858
"13053","Chattahoochee",949121,54449,11278
"13055","Chattooga",339678,4312,6786
"13057","Cherokee",449173,57305,11234
"13059","Clarke",594330,70904,76054
"13061","Clay",531038,16062,19556
"13063","Clayton",967042,59161,19338
"13065","Clinch",994313,22547,28452
"13067","Cobb",474558,66019,27318
"13069","Coffee",832161,38139,96888
"13071","Colquitt",644515,47860,21694
"13073","Columbia",379087,7308,19403
"13075","Cook",315408,15121,16603
"13077","Coweta",463923,3,91874
"13079","Crawford",266689,67603,35984
"13081","Crisp",261990,21463,16236
"13083","Dade",461887,70325,74423
"13085","Dawson",334236,3,88571
"13087","Decatur",525118,32776,27234
"13089","DeKalb",782022,52995,61435
"13091","Dodge",392522,80625,9197
"13093","Dooly",48019,99251,75881
"13095","Dougherty",19966,23034,83653
"13097","Douglas",904565,21780,43156
"13099","Early",105981,90945,78587
"13101","Echols",729482,1779,57759
"13103","Effingham",228294,51505,42566
"13105","Elbert",120281,54899,37913
"13107","Emanuel",519801,76367,97745
"13109","Evans",720174,47537,78005
"13111","Fannin",318561,90434,19330
"13113","Fayette",94799,40520,26939
"13115","Floyd",918335,60245,38489
"13117","Forsyth",700123,92981,40277
"13119","Franklin",913746,62569,75604
"13121","Fulton",931587,46849,93838
"13123","Gilmer",629973,30144,17684
"13125","Glascock",825746,70288,45336
"13127","Glynn",903323,53694,30683
"13129","Gordon",311790,33149,50662
"13131","Grady",323653,18753,19700
"13133","Greene",562274,2276,10245
"13135","Gwinnett",224544,66867,49700
"13137","Habersham",479122,31826,6990
"13139","Hall",548895,33249,81564
"13141","Hancock",424753,21088,29655
"13143","Haralson",576086,15199,64713
"13145","Harris",255437,52146,95401
"13147","Hart",183574,19304,31883
"13149","Heard",715261,35005,69470
"13151","Henry",913642,80452,23457
"13153","Houston",996143,56508,58972
"13155","Irwin",296304,38924,90299
"13157","Jackson",273093,31760,24236
"13159","Jasper",847090,11894,88852
"13161","Jeff Davis",308892,98340,16594
"13163","Jefferson",316814,48823,73740
"13165","Jenkins",563025,72624,27383
"13167","Johnson",607673,33295,80568
"13169","Jones",54195,35964,48392
"13171","Lamar",716884,25709,38725
"13173","Lanier",274202,60617,21655
"13175","Laurens",90794,5704,29369
"13177","Lee",637551,37944,8132
"13179","Liberty",397464,21818,16354
"13181","Lincoln",112425,74075,92504
"13183","Long",802678,60246,47157
"13185","Lowndes",558269,97448,95090
"13187","Lumpkin",365028,65966,20401
"13189","McDuffie",701827,56621,17938
"13191","McIntosh",574860,88976,54766
"13193","Macon",902481,55378,93427
"13195","Madison",232189,22434,31499
"13197","Marion",326059,49332,78910
"13199","Meriwether",306875,60098,45137
"13201","Miller",392754,44222,9036
"13205","Mitchell",457234,93615,16844
"13207","Monroe",123252,79224,53693
"13209","Montgomery",910297,36306,55660
"13211","Morgan",561220,25028,97007
"13213","Murray",927288,61005,22554
"13215","Muscogee",186257,75571,51152
"13217","Newton",710191,83939,38756
"13219","Oconee",909151,82893,65419
"13221","Oglethorpe",698326,90286,93899
"13223","Paulding",500343,56229,33505
"13225","Peach",865729,84854,72143
"13227","Pickens",631240,26549,40561
"13229","Pierce",740606,76285,4902
"13231","Pike",864088,92521,2329
"13233","Polk",190671,19368,43796
"13235","Pulaski",286603,84843,87765
"13237","Putnam",41107,56350,733
"13239","Quitman",893585,69166,75808
"13241","Rabun",788055,17315,44869
"13243","Randolph",488155,77297,56043
"13245","Richmond",386207,93426,70733
"13247","Rockdale",774521,2518,86275
"13249","Schley",366659,83046,23492
"13251","Screven",274805,25357,26343
"13253","Seminole",524850,16796,46261
"13255","Spalding",259879,81521,11235
"13257","Stephens",246290,68456,69720
"13259","Stewart",432686,23756,96206
"13261","Sumter",991447,8466,97029
"13263","Talbot",37457,21377,53371
"13265","Taliaferro",623099,77267,59858
"13267","Tattnall",572542,31769,27562
"13269","Taylor",479645,78297,97465
"13271","Telfair",354530,23235,36666
"13273","Terrell",11244,2071,58244
"13275","Thomas",500044,80369,66585
"13277","Tift",821456,8958,80173
"13279","Toombs",56915,4781,94012
"13281","Towns",149714,2324,34962
"13283","Treutlen",971239,49194,26573
"13285","Troup",309274,762,39360
"13287","Turner",169425,13914,8625
"13289","Twiggs",182686,21687,98251
"13291","Union",217536,53655,33384
"13293","Upson",503695,17501,89856
"13295","Walker",32780,73139,67137
"13297","Walton",260613,29351,77286
"13299","Ware",248498,76963,96311
"13301","Warren",974705,5902,96262
"13303","Washington",429222,76613,78927
"13305","Wayne",121038,18267,86102
"13307","Webster",997231,18445,1698
"13309","Wheeler",367665,9765,25356
"13311","White",3848,23429,27521
"13313","Whitfield",917993,82164,4802
"13315","Wilcox",936031,23274,22397
"13317","Wilkes",744050,55325,97468
"13319","Wilkinson",121979,32357,44330
"13321","Worth",227847,89117,7476
"16001","Ada",456472,8734,20563
"16003","Adams",530785,15036,36215
"16005","Bannock",976170,4714,50969
"16007","Bear Lake",47268,87651,66041
"16009","Benewah",404967,23230,12899
"16011","Bingham",919925,15834,21387
"16013","Blaine",396505,23754,32051
"16015","Boise",328423,47627,15598
"16017","Bonner",40245,57663,42152
"16019","Bonneville",182065,94799,73476
"16021","Boundary",407931,8938,36352
"16023","Butte",946622,13732,59352
"16025","Camas",621038,61217,86391
"16027","Canyon",14779,50071,40797
"16029","Caribou",557201,7684,33438
"16031","Cassia",647818,10922,23215
"16033","Clark",218243,11065,7549
"16035","Clearwater",789343,19113,31310
"16037","Custer",407911,90079,98241
"16039","Elmore",86695,72402,71271
"16041","Franklin",157806,86695,74286
"16043","Fremont",851977,23992,73801
"16045","Gem",337833,54046,57689
"16047","Gooding",186541,22516,3159
"16049","Idaho",427930,49827,38549
"16051","Jefferson",78152,31100,45664
"16053","Jerome",87534,70444,15524
"16055","Kootenai",605353,96283,80650
"16057","Latah",869814,36500,69167
"16059","Lemhi",53922,76691,55726
"16061","Lewis",908918,19407,36818
"16063","Lincoln",78629,26793,57765
"16065","Madison",125002,28128,32997
"16067","Minidoka",761607,63194,33525
"16069","Nez Perce",454513,89567,39602
"16071","Oneida",105497,19984,4499
"16073","Owyhee",680821,30077,90601
"16075","Payette",839686,3878,806
"16077","Power",16333,9258,43524
"16079","Shoshone",434892,69212,52022
"16081","Teton",565281,4152,58330
"16083","Twin Falls",840583,17467,70889
"16085","Valley",680324,57122,94410
"16087","Washington",658009,14748,71657
"17001","Adams",146288,15463,94361
"17003","Alexander",132610,84251,23725
"17005","Bond",59966,80093,19424
"17007","Boone",108594,37952,86414
"17009","Brown",379852,76589,16616
"17011","Bureau",129328,92038,2702
"17013","Calhoun",738815,23599,44115
"17015","Carroll",356494,87227,94776
"17017","Cass",234815,64289,85818
"17019","Champaign",972772,23653,5973
"17021","Christian",876053,19015,7815
"17023","Clark",695839,86276,91536
"17025","Clay",881024,93527,62672
"17027","Clinton",544030,76971,27637
"17029","Coles",852062,10636,18539
"17031","Cook",961540,60948,1205
"17033","Crawford",649906,52232,65467
"17035","Cumberland",922603,66314,89328
"17037","DeKalb",138887,70424,24988
"17039","De Witt",651523,32510,44328
"17041","Douglas",799129,92273,30745
"17043","DuPage",767863,40823,60390
"17045","Edgar",407389,22066,32202
"17047","Edwards",268703,2551,44712
"17049","Effingham",870575,55910,71796
"17051","Fayette",109016,15220,98427
"17053","Ford",209885,22241,66374
"17055","Franklin",5731,55563,96794
"17057","Fulton",529102,1733,40769
"17059","Gallatin",19153,97161,99129
"17061","Greene",608426,43120,6151
"17063","Grundy",77791,13923,1971
"17065","Hamilton",210725,11567,75737
"17067","Hancock",885985,49398,39489
"17069","Hardin",806785,47165,45338
"17071","Henderson",901037,48887,48704
"17073","Henry",245329,37134,68102
"17075","Iroquois",560537,54003,58747
"17077","Jackson",7473,51783,17900
"17079","Jasper",60424,77326,38919
"17081","Jefferson",539271,44888,24348
"17083","Jersey",948487,20697,54813
"17085","Jo Daviess",179642,28602,77915
"17087","Johnson",173072,68576,20085
"17089","Kane",490396,12648,16360
"17091","Kankakee",368720,24620,62361
"17093","Kendall",86075,25547,99048
"17095","Knox",742115,11523,54453
"17097","Lake",769606,63376,18432
"17099","La Salle",995490,41824,13278
"17101","Lawrence",704128,73171,61036
"17103","Lee",327983,94620,4487
"17105","Livingston",926289,36844,43505
"17107","Logan",238199,32207,48965
"17109","McDonough",647494,42998,42378
"17111","McHenry",673503,79855,17200
"17113","McLean",689414,70649,55836
"17115","Macon",982753,87773,11678
"17117","Macoupin",884285,41866,98324
"17119","Madison",276387,6830,65133
"17121","Marion",607943,93990,31506
"17123","Marshall",84425,56034,49848
"17125","Mason",773707,70169,24529
"17127","Massac",752659,28593,54544
"17129","Menard",790385,95423,91729
"17131","Mercer",530866,98618,32360
"17133","Monroe",107506,98701,46255
"17135","Montgomery",253483,24377,27814
"17137","Morgan",909061,8275,75045
"17139","Moultrie",353504,45851,82823
"17141","Ogle",722826,65618,83476
"17143","Peoria",759725,30484,49493
"17145","Perry",690306,54161,21628
"17147","Piatt",409529,2294,90856
"17149","Pike",603841,86591,71636
"17151","Pope",205344,20266,19667
"17153","Pulaski",301018,20587,3154
"17155","Putnam",53759,44600,69866
"17157","Randolph",289269,14669,83839
"17159","Richland",502044,28909,18865
"17161","Rock Island",567850,49227,35032
"17163","St. Clair",385213,44083,9884
"17165","Saline",201500,93792,98446
"17167","Sangamon",579382,59758,61665
"17169","Schuyler",120079,83685,58526
"17171","Scott",406638,97995,18043
"17173","Shelby",520881,66259,60196
"17175","Stark",554197,35302,39114
"17177","Stephenson",200973,59843,80459
"17179","Tazewell",193100,19870,33183
"17181","Union",424606,9277,63103
"17183","Vermilion",371616,3369,21871
"17185","Wabash",486805,5431,91356
"17187","Warren",450685,99872,4329
"17189","Washington",484868,39545,21206
"17191","Wayne",485084,58807,39509
"17193","White",334749,66710,42352
"17195","Whiteside",320545,6780,2900
"17197","Will",815973,59784,53216
"17199","Williamson",750827,10763,11289
"17201","Winnebago",718881,49665,2987
"17203","Woodford",692072,47349,10131
"18001","Adams",801585,17872,59734
"18003","Allen",232701,9440,39075
"18005","Bartholomew",30821,18106,8538
"18007","Benton",718160,66788,36197
"18009","Blackford",108419,59093,71022
"18011","Boone",464528,15901,17885
"18013","Brown",662047,83622,55101
"18015","Carroll",741486,74255,33908
"18017","Cass",355285,45158,12640
"18019","Clark",463731,8649,48812
"18021","Clay",218374,59317,7556
"18023","Clinton",806343,24170,22246
"18025","Crawford",911185,7520,10191
"18027","Daviess",756294,21223,56996
"18029","Dearborn",189060,47282,42321
"18031","Decatur",55880,55648,22984
"18033","DeKalb",263655,93558,74258
"18035","Delaware",279791,92842,80396
"18037","Dubois",419269,41259,2632
"18039","Elkhart",158837,40519,51837
"18041","Fayette",236055,4069,41681
"18043","Floyd",71027,96584,71931
"18045","Fountain",144837,25719,86780
"18047","Franklin",628244,91482,45516
"18049","Fulton",973628,10215,25712
"18051","Gibson",794664,79744,72471
"18053","Grant",858224,96907,38888
"18055","Greene",875662,47366,84598
"18057","Hamilton",635388,24257,43351
"18059","Hancock",56977,32527,70278
"18061","Harrison",9975,3684,74240
"18063","Hendricks",420946,39513,68058
"18065","Henry",307924,38678,20775
"18067","Howard",828489,62374,65879
"18069","Huntington",52001,95712,11362
"18071","Jackson",151551,51310,51165
"18073","Jasper",432678,85605,71922
"18075","Jay",90574,22084,55614
"18077","Jefferson",287087,32108,80258
"18079","Jennings",288573,86931,42244
"18081","Johnson",260172,91867,46045
"18083","Knox",727102,61490,85549
"18085","Kosciusko",327573,38180,90588
"18087","LaGrange",527873,67001,53550
"18089","Lake",825230,77572,56519
"18091","LaPorte",585083,64205,64077
"18093","Lawrence",848662,60611,6255
"18095","Madison",503515,26109,47069
"18097","Marion",277853,29206,17782
"18099","Marshall",73953,43233,8757
"18101","Martin",252251,83865,81953
"18103","Miami",312694,51133,76233
"18105","Monroe",15635,28852,73922
"18107","Montgomery",651,78932,79521
"18109","Morgan",783580,44024,51200
"18111","Newton",927945,52809,72968
"18113","Noble",754556,29805,24557
"18115","Ohio",804661,1975,79059
"18117","Orange",618457,74266,23508
"18119","Owen",629034,11830,13168
"18121","Parke",116009,83200,15024
"18123","Perry",570112,17318,93593
"18125","Pike",984721,90185,40914
"18127","Porter",979839,61000,48407
"18129","Posey",695233,63917,60222
"18131","Pulaski",190065,4029,90923
"18133","Putnam",559984,20886,89258
"18135","Randolph",351334,13415,68919
"18137","Ripley",841960,65490,90559
"18139","Rush",618287,10791,54856
"18141","St. Joseph",539788,55595,74618
"18143","Scott",712120,86536,92922
"18145","Shelby",348308,27688,37572
"18147","Spencer",942881,29906,62216
"18149","Starke",669583,22695,46793
"18151","Steuben",172722,82486,52459
"18153","Sullivan",884530,4997,63466
"18155","Switzerland",784888,59168,84479
"18157","Tippecanoe",181956,146,43835
"18159","Tipton",384761,29315,86314
"18161","Union",692345,51577,84808
"18163","Vanderburgh",392832,37653,82419
"18165","Vermillion",966702,8358,62185
"18167","Vigo",561541,40419,48422
"18169","Wabash",503274,80150,991
"18171","Warren",15455,39359,69525
"18173","Warrick",137220,7102,60369
"18175","Washington",477707,29499,49427
"18177","Wayne",558698,95202,46333
"18179","Wells",456630,58845,91493
"18181","White",168964,51492,39285
"18183","Whitley",79610,37489,76175
"19001","Adair",947311,15712,75803
"19003","Adams",205445,60059,37407
"19005","Allamakee",100831,38128,43188
"19007","Appanoose",23110,63605,98707
"19009","Audubon",768562,418,98478
"19011","Benton",236977,8635,40392
"19013","Black Hawk",979159,50296,40746
"19015","Boone",344491,74267,92809
"19017","Bremer",714712,54782,3303
"19019","Buchanan",430582,67441,60972
"19021","Buena Vista",16286,10826,2737
"19023","Butler",949887,28009,16426
"19025","Calhoun",106440,42497,3329
"19027","Carroll",939884,63610,51854
"19029","Cass",745874,91928,42956
"19031","Cedar",860162,2532,99197
"19033","Cerro Gordo",192550,64641,20875
"19035","Cherokee",433479,39300,33067
"19037","Chickasaw",775968,92739,93234
"19039","Clarke",863654,49779,78215
"19041","Clay",3124,17893,98680
